season_week,QB_points,WR1_points,WR2_points,WR3_points,RB1_points,RB2_points,TE_points,W/R/T_points,DEF_points,BN1_points,BN2_points,BN3_points,BN4_points,BN5_points,BN6_points,BN7_points,W/R/T position,WR_total_points,RB_total_points,TE_total_points,BN_points,manager,win,points_for
Kyle|2017|7,7.57,22.2,13.1,0.0,9.2,0.7,9.3,4.0,29.0,0.0,0.0,27.4,5.4,3.1,0.0,0.0,RB,35.3,13.899999999999999,9.3,35.9,Kyle,1,98.57
Kyle|2017|8,10.43,2.8,32.4,0.0,6.1,0.2,2.1,7.9,12.5,0.0,12.8,6.6,17.0,0.0,0.0,0.0,RB,35.199999999999996,14.2,2.1,36.4,Kyle,0,78.93
Kyle|2017|9,9.7,14.3,17.6,0.0,13.7,13.8,10.3,13.8,13.5,0.0,4.4,13.87,7.4,0.0,0.0,0.0,WR,45.7,27.5,10.3,25.67,Kyle,1,115.2
Kyle|2017|10,15.9,14.6,5.0,0.0,2.1,4.9,1.9,10.1,12.5,0.0,0.0,0.0,0.0,7.8,0.0,0.0,WR,29.700000000000003,7.0,1.9,7.8,Kyle,0,70.5
Kyle|2017|11,10.9,15.6,11.9,0.0,19.1,10.6,5.0,5.4,32.0,11.1,0.0,12.7,10.1,0.0,0.0,0.0,WR,32.9,29.700000000000003,5.0,33.9,Kyle,0,110.5
Kyle|2017|12,6.53,16.0,8.9,0.0,14.5,2.8,12.9,23.6,13.5,1.1,7.7,14.13,9.8,5.1,0.0,0.0,WR,48.5,17.3,12.9,37.830000000000005,Kyle,0,100.23
Kyle|2017|13,17.3,12.0,33.5,0.0,8.4,6.1,3.1,7.2,21.0,6.1,9.5,13.47,10.1,12.0,0.0,0.0,WR,52.7,14.5,3.1,51.17,Kyle,1,113.1
Kyle|2017|14,2.4,30.4,9.5,0.0,7.2,8.5,7.4,4.9,16.5,4.2,1.1,8.03,4.9,3.5,0.0,0.0,WR,44.8,15.7,7.4,21.73,Kyle,0,87.3
Kyle|2017|15,16.43,16.0,17.3,0.0,7.6,9.9,8.2,14.0,18.0,2.7,2.5,16.4,1.2,10.4,0.0,0.0,WR,47.3,17.5,8.2,33.199999999999996,Kyle,1,111.43
Michael|2017|1,23.23,8.6,2.4,0.0,43.1,10.6,1.9,9.3,10.5,0.0,22.5,11.1,5.5,1.6,0.0,0.0,RB,11.0,63.0,1.9,40.7,Michael,1,113.63
Michael|2017|2,14.47,13.3,17.3,0.0,24.4,12.9,12.7,28.9,20.5,10.2,0.0,4.1,2.8,3.8,0.0,0.0,RB,30.6,66.19999999999999,12.7,20.9,Michael,1,151.97
Michael|2017|3,14.07,12.6,4.0,0.0,24.8,3.1,1.9,5.3,1.0,6.8,0.0,17.7,5.4,4.0,0.0,0.0,RB,16.6,33.2,1.9,33.9,Michael,0,74.27
Michael|2017|4,25.37,4.5,5.6,0.0,14.1,13.2,2.3,4.9,14.0,6.3,3.7,27.1,0.0,10.5,0.0,0.0,RB,10.1,32.199999999999996,2.3,47.6,Michael,0,90.97
Michael|2017|5,24.7,13.4,5.9,0.0,13.1,9.9,11.9,5.2,6.0,0.0,0.0,1.1,0.0,4.7,0.0,0.0,RB,19.3,28.2,11.9,5.800000000000001,Michael,0,93.6
Michael|2017|6,13.5,8.0,10.2,0.0,13.5,9.6,12.6,1.7,12.0,2.4,3.7,1.4,0.0,9.2,0.0,0.0,RB,18.2,24.8,12.6,16.7,Michael,0,97.6
Michael|2017|7,22.4,7.4,20.4,0.0,13.7,6.6,9.6,1.0,6.0,0.0,3.1,0.0,0.0,4.0,0.0,0.0,WR,28.799999999999997,20.299999999999997,9.6,7.1,Michael,1,99.1
