week,team_name,in_season_manager_id,manager_name,opponent_team_name,in_season_opponent_manager_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,season,win
9,The Scientist,9,Kyle,who invited canada,2,Peter,86.75,121.83,110.41,105.03,2015,1
10,The Scientist,9,Kyle,Immortal Duffmen,11,Pat,102.59,134.67,97.43,79.2,2015,1
11,The Scientist,9,Kyle,Victor Cruisin,13,Frags,104.17,52.73,80.36,92.43,2015,0
12,The Scientist,9,Kyle,Thunder Crotches,7,Jake,96.27,87.2,106.15,93.5,2015,0
13,The Scientist,9,Kyle,Jadeveon's Hit Men,3,Tim,105.16,95.53,100.41,67.83,2015,1
14,The Scientist,9,Kyle,Starr is Born,12,Nick,105.34,111.7,121.99,135.03,2015,0
15,The Scientist,9,Kyle,The fishingtons,10,Buddy,105.16,111.0,97.35,148.93,2015,0
1,The fishingtons,10,Buddy,Starr is Born,12,Nick,105.02,71.23,101.42,116.8,2015,0
2,The fishingtons,10,Buddy,John Brown's Army,8,Eric,100.12,112.97,93.83,116.43,2015,0
3,The fishingtons,10,Buddy,The Scientist,9,Kyle,98.77,80.8,103.64,74.63,2015,1
4,The fishingtons,10,Buddy,who invited canada,2,Peter,98.85,79.4,103.6,89.03,2015,0
5,The fishingtons,10,Buddy,Kurtz' Horror,14,Jones,92.47,117.8,74.34,47.07,2015,1
6,The fishingtons,10,Buddy,Lauren's Legit Team,6,Lauren,93.99,74.67,82.1,61.4,2015,1
7,The fishingtons,10,Buddy,The Dirty Diapers,4,unknown,94.67,119.2,91.56,83.93,2015,1
8,The fishingtons,10,Buddy,Lauren's Legit Team,6,Lauren,98.09,108.2,82.71,89.93,2015,1
9,The fishingtons,10,Buddy,John Brown's Army,8,Eric,99.8,119.1,57.15,46.07,2015,1
10,The fishingtons,10,Buddy,Jadeveon's Hit Men,3,Tim,97.49,122.93,107.95,82.13,2015,1
11,The fishingtons,10,Buddy,Starr is Born,12,Nick,91.31,97.27,105.47,103.6,2015,0
12,The fishingtons,10,Buddy,Kurtz' Horror,14,Jones,111.83,82.4,105.78,68.27,2015,1
13,The fishingtons,10,Buddy,who invited canada,2,Peter,103.32,116.07,111.52,123.73,2015,0
14,The fishingtons,10,Buddy,Thug Bungalow,5,Michael,110.15,91.33,100.66,101.97,2015,0
15,The fishingtons,10,Buddy,The Scientist,9,Kyle,97.35,148.93,105.16,111.0,2015,1
1,Immortal Duffmen,11,Pat,The Scientist,9,Kyle,98.74,100.97,101.93,127.17,2015,0
2,Immortal Duffmen,11,Pat,Starr is Born,12,Nick,99.73,97.77,98.39,94.23,2015,1
3,Immortal Duffmen,11,Pat,Jadeveon's Hit Men,3,Tim,91.63,104.63,98.63,59.4,2015,1
4,Immortal Duffmen,11,Pat,Victor Cruisin,13,Frags,100.16,107.07,98.88,114.63,2015,0
5,Immortal Duffmen,11,Pat,The Ice Cold Bruschi,1,Ricky,98.02,72.7,76.25,122.47,2015,0
6,Immortal Duffmen,11,Pat,Thunder Crotches,7,Jake,85.01,83.13,101.19,137.8,2015,0
7,Immortal Duffmen,11,Pat,Thug Bungalow,5,Michael,89.53,111.43,80.66,84.4,2015,1
8,Immortal Duffmen,11,Pat,Victor Cruisin,13,Frags,100.13,84.87,103.2,64.87,2015,1
9,Immortal Duffmen,11,Pat,Thunder Crotches,7,Jake,92.35,103.47,103.26,124.5,2015,0
10,Immortal Duffmen,11,Pat,The Scientist,9,Kyle,97.43,79.2,102.59,134.67,2015,0
11,Immortal Duffmen,11,Pat,The Dirty Diapers,4,unknown,108.06,89.67,99.09,79.7,2015,1
12,Immortal Duffmen,11,Pat,Thug Bungalow,5,Michael,94.76,86.23,109.26,111.03,2015,0
13,Immortal Duffmen,11,Pat,The Ice Cold Bruschi,1,Ricky,105.0,75.57,116.76,159.6,2015,0
14,Immortal Duffmen,11,Pat,Kurtz' Horror,14,Jones,104.58,85.53,90.71,83.57,2015,1
15,Immortal Duffmen,11,Pat,The Dirty Diapers,4,unknown,94.61,72.13,95.25,112.07,2015,0
16,Immortal Duffmen,11,Pat,Jadeveon's Hit Men,3,Tim,91.44,83.03,93.41,87.63,2015,0
1,Starr is Born,12,Nick,The fishingtons,10,Buddy,101.42,116.8,105.02,71.23,2015,1
2,Starr is Born,12,Nick,Immortal Duffmen,11,Pat,98.39,94.23,99.73,97.77,2015,0
3,Starr is Born,12,Nick,The Dirty Diapers,4,unknown,95.69,95.27,92.05,106.37,2015,0
4,Starr is Born,12,Nick,Kurtz' Horror,14,Jones,85.79,93.8,101.58,86.23,2015,1
5,Starr is Born,12,Nick,who invited canada,2,Peter,93.18,87.17,72.67,108.83,2015,0
6,Starr is Born,12,Nick,John Brown's Army,8,Eric,98.37,101.5,96.98,87.87,2015,1
7,Starr is Born,12,Nick,Lauren's Legit Team,6,Lauren,98.2,83.2,89.32,82.07,2015,1
8,Starr is Born,12,Nick,The Dirty Diapers,4,unknown,91.77,82.9,94.48,104.3,2015,0
9,Starr is Born,12,Nick,Lauren's Legit Team,6,Lauren,95.28,121.4,95.59,57.3,2015,1
10,Starr is Born,12,Nick,John Brown's Army,8,Eric,99.81,103.23,99.65,90.87,2015,1
11,Starr is Born,12,Nick,The fishingtons,10,Buddy,105.47,103.6,91.31,97.27,2015,1
12,Starr is Born,12,Nick,The Ice Cold Bruschi,1,Ricky,101.99,112.0,99.42,88.23,2015,1
13,Starr is Born,12,Nick,Kurtz' Horror,14,Jones,113.92,106.93,103.47,82.57,2015,1
14,Starr is Born,12,Nick,The Scientist,9,Kyle,121.99,135.03,105.34,111.7,2015,1
15,Starr is Born,12,Nick,who invited canada,2,Peter,110.02,114.93,113.1,104.4,2015,1
16,Starr is Born,12,Nick,Thug Bungalow,5,Michael,108.18,105.43,103.23,104.63,2015,1
1,Victor Cruisin,13,Frags,Kurtz' Horror,14,Jones,95.98,79.93,102.78,87.93,2015,0
2,Victor Cruisin,13,Frags,Jadeveon's Hit Men,3,Tim,97.39,115.2,98.45,101.43,2015,1
3,Victor Cruisin,13,Frags,Thug Bungalow,5,Michael,107.66,138.6,101.03,165.5,2015,0
4,Victor Cruisin,13,Frags,Immortal Duffmen,11,Pat,98.88,114.63,100.16,107.07,2015,1
5,Victor Cruisin,13,Frags,The Scientist,9,Kyle,78.67,101.93,96.25,136.13,2015,0
6,Victor Cruisin,13,Frags,The Ice Cold Bruschi,1,Ricky,104.49,112.57,113.97,118.4,2015,0
7,Victor Cruisin,13,Frags,Thunder Crotches,7,Jake,112.61,114.87,102.33,98.0,2015,1
8,Victor Cruisin,13,Frags,Immortal Duffmen,11,Pat,103.2,64.87,100.13,84.87,2015,0
9,Victor Cruisin,13,Frags,Thug Bungalow,5,Michael,67.06,75.0,107.53,120.5,2015,0
10,Victor Cruisin,13,Frags,Thunder Crotches,7,Jake,98.14,98.8,98.29,86.07,2015,1
11,Victor Cruisin,13,Frags,The Scientist,9,Kyle,80.36,92.43,104.17,52.73,2015,1
12,Victor Cruisin,13,Frags,Jadeveon's Hit Men,3,Tim,92.29,76.57,95.2,100.9,2015,0
13,Victor Cruisin,13,Frags,Lauren's Legit Team,6,Lauren,99.55,102.63,90.29,109.13,2015,0
14,Victor Cruisin,13,Frags,Thunder Crotches,7,Jake,95.69,121.6,93.83,87.77,2015,1
15,Victor Cruisin,13,Frags,Jadeveon's Hit Men,3,Tim,91.8,115.4,98.37,113.97,2015,1
16,Victor Cruisin,13,Frags,The Dirty Diapers,4,unknown,90.83,129.8,92.63,101.23,2015,1
1,Kurtz' Horror,14,Jones,Victor Cruisin,13,Frags,102.78,87.93,95.98,79.93,2015,1
2,Kurtz' Horror,14,Jones,The Dirty Diapers,4,unknown,91.12,90.8,102.92,65.9,2015,1
3,Kurtz' Horror,14,Jones,Lauren's Legit Team,6,Lauren,102.7,124.2,91.64,90.4,2015,1
4,Kurtz' Horror,14,Jones,Starr is Born,12,Nick,101.58,86.23,85.79,93.8,2015,0
5,Kurtz' Horror,14,Jones,The fishingtons,10,Buddy,74.34,47.07,92.47,117.8,2015,0
6,Kurtz' Horror,14,Jones,who invited canada,2,Peter,101.05,101.73,99.89,132.87,2015,0
7,Kurtz' Horror,14,Jones,John Brown's Army,8,Eric,90.86,89.37,91.79,69.9,2015,1
8,Kurtz' Horror,14,Jones,who invited canada,2,Peter,99.73,95.33,102.23,119.23,2015,0
9,Kurtz' Horror,14,Jones,The Dirty Diapers,4,unknown,97.85,104.5,106.15,118.7,2015,0
10,Kurtz' Horror,14,Jones,Lauren's Legit Team,6,Lauren,90.83,101.07,85.64,72.13,2015,1
11,Kurtz' Horror,14,Jones,John Brown's Army,8,Eric,90.85,67.53,68.05,46.9,2015,1
