week,team_name,season_id,manager_name,opponent_team_name,opponent_season_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,season
13,b'The Scientist',9,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,105.16,95.53,100.41,67.83,2015
14,b'The Scientist',9,--hidden--,b'Starr is Born',12,--hidden--,105.34,111.7,121.99,135.03,2015
15,b'The Scientist',9,--hidden--,b'The fishingtons',10,--hidden--,105.16,111.0,97.35,148.93,2015
1,b'The fishingtons',10,--hidden--,b'Starr is Born',12,--hidden--,105.02,71.23,101.42,116.8,2015
2,b'The fishingtons',10,--hidden--,"b""John Brown's Army""",8,--hidden--,100.12,112.97,93.83,116.43,2015
3,b'The fishingtons',10,--hidden--,b'The Scientist',9,--hidden--,98.77,80.8,103.64,74.63,2015
4,b'The fishingtons',10,--hidden--,b'who invited canada',2,--hidden--,98.85,79.4,103.6,89.03,2015
5,b'The fishingtons',10,--hidden--,"b""Kurtz' Horror""",14,--hidden--,92.47,117.8,74.34,47.07,2015
6,b'The fishingtons',10,--hidden--,"b""Lauren's Legit Team""",6,--hidden--,93.99,74.67,82.1,61.4,2015
7,b'The fishingtons',10,--hidden--,b'The Dirty Diapers',4,--hidden--,94.67,119.2,91.56,83.93,2015
8,b'The fishingtons',10,--hidden--,"b""Lauren's Legit Team""",6,--hidden--,98.09,108.2,82.71,89.93,2015
9,b'The fishingtons',10,--hidden--,"b""John Brown's Army""",8,--hidden--,99.8,119.1,57.15,46.07,2015
10,b'The fishingtons',10,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,97.49,122.93,107.95,82.13,2015
11,b'The fishingtons',10,--hidden--,b'Starr is Born',12,--hidden--,91.31,97.27,105.47,103.6,2015
12,b'The fishingtons',10,--hidden--,"b""Kurtz' Horror""",14,--hidden--,111.83,82.4,105.78,68.27,2015
13,b'The fishingtons',10,--hidden--,b'who invited canada',2,--hidden--,103.32,116.07,111.52,123.73,2015
14,b'The fishingtons',10,--hidden--,b'Thug Bungalow',5,--hidden--,110.15,91.33,100.66,101.97,2015
15,b'The fishingtons',10,--hidden--,b'The Scientist',9,--hidden--,97.35,148.93,105.16,111.0,2015
1,b'Immortal Duffmen',11,--hidden--,b'The Scientist',9,--hidden--,98.74,100.97,101.93,127.17,2015
2,b'Immortal Duffmen',11,--hidden--,b'Starr is Born',12,--hidden--,99.73,97.77,98.39,94.23,2015
3,b'Immortal Duffmen',11,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,91.63,104.63,98.63,59.4,2015
4,b'Immortal Duffmen',11,--hidden--,b'Victor Cruisin',13,--hidden--,100.16,107.07,98.88,114.63,2015
5,b'Immortal Duffmen',11,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,98.02,72.7,76.25,122.47,2015
6,b'Immortal Duffmen',11,--hidden--,b'Thunder Crotches',7,--hidden--,85.01,83.13,101.19,137.8,2015
7,b'Immortal Duffmen',11,--hidden--,b'Thug Bungalow',5,--hidden--,89.53,111.43,80.66,84.4,2015
8,b'Immortal Duffmen',11,--hidden--,b'Victor Cruisin',13,--hidden--,100.13,84.87,103.2,64.87,2015
9,b'Immortal Duffmen',11,--hidden--,b'Thunder Crotches',7,--hidden--,92.35,103.47,103.26,124.5,2015
10,b'Immortal Duffmen',11,--hidden--,b'The Scientist',9,--hidden--,97.43,79.2,102.59,134.67,2015
11,b'Immortal Duffmen',11,--hidden--,b'The Dirty Diapers',4,--hidden--,108.06,89.67,99.09,79.7,2015
12,b'Immortal Duffmen',11,--hidden--,b'Thug Bungalow',5,--hidden--,94.76,86.23,109.26,111.03,2015
13,b'Immortal Duffmen',11,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,105.0,75.57,116.76,159.6,2015
14,b'Immortal Duffmen',11,--hidden--,"b""Kurtz' Horror""",14,--hidden--,104.58,85.53,90.71,83.57,2015
15,b'Immortal Duffmen',11,--hidden--,b'The Dirty Diapers',4,--hidden--,94.61,72.13,95.25,112.07,2015
16,b'Immortal Duffmen',11,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,91.44,83.03,93.41,87.63,2015
1,b'Starr is Born',12,--hidden--,b'The fishingtons',10,--hidden--,101.42,116.8,105.02,71.23,2015
2,b'Starr is Born',12,--hidden--,b'Immortal Duffmen',11,--hidden--,98.39,94.23,99.73,97.77,2015
3,b'Starr is Born',12,--hidden--,b'The Dirty Diapers',4,--hidden--,95.69,95.27,92.05,106.37,2015
4,b'Starr is Born',12,--hidden--,"b""Kurtz' Horror""",14,--hidden--,85.79,93.8,101.58,86.23,2015
5,b'Starr is Born',12,--hidden--,b'who invited canada',2,--hidden--,93.18,87.17,72.67,108.83,2015
6,b'Starr is Born',12,--hidden--,"b""John Brown's Army""",8,--hidden--,98.37,101.5,96.98,87.87,2015
7,b'Starr is Born',12,--hidden--,"b""Lauren's Legit Team""",6,--hidden--,98.2,83.2,89.32,82.07,2015
8,b'Starr is Born',12,--hidden--,b'The Dirty Diapers',4,--hidden--,91.77,82.9,94.48,104.3,2015
9,b'Starr is Born',12,--hidden--,"b""Lauren's Legit Team""",6,--hidden--,95.28,121.4,95.59,57.3,2015
10,b'Starr is Born',12,--hidden--,"b""John Brown's Army""",8,--hidden--,99.81,103.23,99.65,90.87,2015
11,b'Starr is Born',12,--hidden--,b'The fishingtons',10,--hidden--,105.47,103.6,91.31,97.27,2015
12,b'Starr is Born',12,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,101.99,112.0,99.42,88.23,2015
13,b'Starr is Born',12,--hidden--,"b""Kurtz' Horror""",14,--hidden--,113.92,106.93,103.47,82.57,2015
