week,team_name,season_id,manager_name,opponent_team_name,opponent_season_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against
8,b'Saquon These Nuts',5,--hidden--,b'who invited canada',14,--hidden--,145.13,121.96,121.59,73.8
9,b'Saquon These Nuts',5,--hidden--,b'Starr is Born',6,--hidden--,127.77,107.4,116.09,141.44
10,b'Saquon These Nuts',5,--hidden--,b'SuperCam That Ho',7,--hidden--,98.48,87.38,116.72,144.72
11,b'Saquon These Nuts',5,--hidden--,b'The fishingtons',8,--hidden--,122.02,83.94,120.5,172.54
12,b'Saquon These Nuts',5,--hidden--,b'The Scientist',9,--hidden--,117.68,107.5,125.97,86.84
13,b'Saquon These Nuts',5,--hidden--,b'The Twelve Apostles',10,--hidden--,127.92,93.54,138.42,116.3
15,b'Saquon These Nuts',5,--hidden--,b'Immortal Duffmen',2,--hidden--,102.29,106.72,122.54,129.8
16,b'Saquon These Nuts',5,--hidden--,b'Thug Bungalow',11,--hidden--,85.82,74.94,135.42,132.06
1,b'Starr is Born',6,--hidden--,b'The Twelve Apostles',10,--hidden--,132.57,164.24,138.04,141.9
2,b'Starr is Born',6,--hidden--,b'Thug Bungalow',11,--hidden--,132.81,97.0,143.26,137.94
3,b'Starr is Born',6,--hidden--,b'Thunder Crotches',12,--hidden--,136.97,136.84,135.24,159.04
4,b'Starr is Born',6,--hidden--,"b""We're Back""",13,--hidden--,132.51,132.44,133.64,133.98
5,b'Starr is Born',6,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,127.76,150.66,145.99,120.64
6,b'Starr is Born',6,--hidden--,b'Immortal Duffmen',2,--hidden--,112.36,113.3,130.96,188.74
7,b'Starr is Born',6,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,126.92,152.96,127.04,125.12
8,b'Starr is Born',6,--hidden--,"b""John Brown's Army""",4,--hidden--,135.01,108.58,139.05,192.26
9,b'Starr is Born',6,--hidden--,b'Saquon These Nuts',5,--hidden--,116.09,141.44,127.77,107.4
10,b'Starr is Born',6,--hidden--,b'who invited canada',14,--hidden--,119.76,107.14,113.7,90.86
11,b'Starr is Born',6,--hidden--,b'SuperCam That Ho',7,--hidden--,129.47,124.84,131.56,88.86
12,b'Starr is Born',6,--hidden--,b'The fishingtons',8,--hidden--,123.28,148.16,131.13,161.86
13,b'Starr is Born',6,--hidden--,b'The Scientist',9,--hidden--,135.85,114.26,136.6,102.06
14,b'Starr is Born',6,--hidden--,"b""John Brown's Army""",4,--hidden--,133.6,123.24,132.7,110.62
15,b'Starr is Born',6,--hidden--,b'The Twelve Apostles',10,--hidden--,134.22,136.86,141.44,129.54
16,b'Starr is Born',6,--hidden--,b'The fishingtons',8,--hidden--,143.93,140.78,135.99,123.14
1,b'SuperCam That Ho',7,--hidden--,b'The Scientist',9,--hidden--,134.61,93.86,126.25,64.7
2,b'SuperCam That Ho',7,--hidden--,b'The Twelve Apostles',10,--hidden--,119.94,87.82,140.06,143.5
3,b'SuperCam That Ho',7,--hidden--,b'Thug Bungalow',11,--hidden--,121.02,115.78,134.15,143.46
4,b'SuperCam That Ho',7,--hidden--,b'Thunder Crotches',12,--hidden--,119.63,102.84,133.07,81.32
5,b'SuperCam That Ho',7,--hidden--,"b""We're Back""",13,--hidden--,119.27,135.64,131.16,150.2
6,b'SuperCam That Ho',7,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,120.78,123.22,136.33,135.24
7,b'SuperCam That Ho',7,--hidden--,b'Immortal Duffmen',2,--hidden--,102.19,81.14,131.32,102.96
8,b'SuperCam That Ho',7,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,135.91,116.9,134.48,157.56
9,b'SuperCam That Ho',7,--hidden--,"b""John Brown's Army""",4,--hidden--,109.68,141.28,129.69,95.56
10,b'SuperCam That Ho',7,--hidden--,b'Saquon These Nuts',5,--hidden--,116.72,144.72,98.48,87.38
11,b'SuperCam That Ho',7,--hidden--,b'Starr is Born',6,--hidden--,131.56,88.86,129.47,124.84
12,b'SuperCam That Ho',7,--hidden--,b'who invited canada',14,--hidden--,104.06,102.52,114.76,81.78
13,b'SuperCam That Ho',7,--hidden--,b'The fishingtons',8,--hidden--,109.43,115.1,124.04,145.08
14,b'SuperCam That Ho',7,--hidden--,b'Immortal Duffmen',2,--hidden--,116.85,107.16,130.79,118.22
15,b'SuperCam That Ho',7,--hidden--,b'The Scientist',9,--hidden--,120.6,124.2,106.16,114.48
1,b'The fishingtons',8,--hidden--,b'who invited canada',14,--hidden--,139.82,147.92,125.45,103.32
2,b'The fishingtons',8,--hidden--,b'The Scientist',9,--hidden--,138.73,120.26,135.6,133.5
3,b'The fishingtons',8,--hidden--,b'The Twelve Apostles',10,--hidden--,134.63,129.8,134.98,133.14
4,b'The fishingtons',8,--hidden--,b'Thug Bungalow',11,--hidden--,137.09,105.68,141.95,94.6
5,b'The fishingtons',8,--hidden--,b'Thunder Crotches',12,--hidden--,129.51,151.02,123.14,130.32
6,b'The fishingtons',8,--hidden--,"b""We're Back""",13,--hidden--,131.25,125.82,146.27,119.92
7,b'The fishingtons',8,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,124.44,135.26,139.01,102.52
8,b'The fishingtons',8,--hidden--,b'Immortal Duffmen',2,--hidden--,121.71,122.9,121.5,144.54
9,b'The fishingtons',8,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,127.09,118.54,129.35,135.74
