week,team_name,season_id,manager_name,opponent_team_name,opponent_season_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,inverse_matchup
8,b'The Scientist',9,Kyle,b'The Ice Cold Bruschi',1,Ricky,124.65,164.82,139.06,165.66,1
8,b'Immortal Duffmen',2,PD,b'The fishingtons',8,mike,121.5,144.54,121.71,122.9,0
8,b'The fishingtons',8,mike,b'Immortal Duffmen',2,PD,121.71,122.9,121.5,144.54,1
8,"b""Jadeveon's Hit Men""",3,Tim,b'SuperCam That Ho',7,Lauren,134.48,157.56,135.91,116.9,0
8,b'SuperCam That Ho',7,Lauren,"b""Jadeveon's Hit Men""",3,Tim,135.91,116.9,134.48,157.56,1
8,"b""John Brown's Army""",4,Eric,b'Starr is Born',6,Nick,139.05,192.26,135.01,108.58,0
8,b'Starr is Born',6,Nick,"b""John Brown's Army""",4,Eric,135.01,108.58,139.05,192.26,1
8,b'Saquon These Nuts',5,matt,b'who invited canada',14,Peter,145.13,121.96,121.59,73.8,0
8,b'who invited canada',14,Peter,b'Saquon These Nuts',5,matt,121.59,73.8,145.13,121.96,1
8,b'The Twelve Apostles',10,Matt Jones,"b""We're Back""",13,Nate,142.85,145.18,137.15,126.28,0
8,"b""We're Back""",13,Nate,b'The Twelve Apostles',10,Matt Jones,137.15,126.28,142.85,145.18,1
8,b'Thug Bungalow',11,Mike,b'Thunder Crotches',12,Jake,116.47,99.38,101.06,125.9,0
8,b'Thunder Crotches',12,Jake,b'Thug Bungalow',11,Mike,101.06,125.9,116.47,99.38,1
9,b'The Ice Cold Bruschi',1,Ricky,b'The Twelve Apostles',10,Matt Jones,148.8,121.0,119.33,158.12,0
9,b'The Twelve Apostles',10,Matt Jones,b'The Ice Cold Bruschi',1,Ricky,119.33,158.12,148.8,121.0,1
9,b'Immortal Duffmen',2,PD,b'The Scientist',9,Kyle,122.47,90.36,125.91,134.12,0
9,b'The Scientist',9,Kyle,b'Immortal Duffmen',2,PD,125.91,134.12,122.47,90.36,1
9,"b""Jadeveon's Hit Men""",3,Tim,b'The fishingtons',8,mike,129.35,135.74,127.09,118.54,0
9,b'The fishingtons',8,mike,"b""Jadeveon's Hit Men""",3,Tim,127.09,118.54,129.35,135.74,1
9,"b""John Brown's Army""",4,Eric,b'SuperCam That Ho',7,Lauren,129.69,95.56,109.68,141.28,0
9,b'SuperCam That Ho',7,Lauren,"b""John Brown's Army""",4,Eric,109.68,141.28,129.69,95.56,1
9,b'Saquon These Nuts',5,matt,b'Starr is Born',6,Nick,127.77,107.4,116.09,141.44,0
9,b'Starr is Born',6,Nick,b'Saquon These Nuts',5,matt,116.09,141.44,127.77,107.4,1
9,b'Thug Bungalow',11,Mike,"b""We're Back""",13,Nate,115.32,100.26,139.74,142.0,0
9,"b""We're Back""",13,Nate,b'Thug Bungalow',11,Mike,139.74,142.0,115.32,100.26,1
