clinched_playoffs,division_id,draft_grade,draft_position,draft_recap_url,faab_balance,has_draft_grade,league_scoring_type,name,number_of_moves,number_of_trades,team_id,team_key,url,waiver_priority,season,managers.manager,roster_adds.coverage_type,roster_adds.coverage_value,roster_adds.value,team_logos.team_logo,team_points.coverage_type,team_points.season,team_points.total,team_standings.divisional_outcome_totals.losses,team_standings.divisional_outcome_totals.ties,team_standings.divisional_outcome_totals.wins,team_standings.outcome_totals.losses,team_standings.outcome_totals.percentage,team_standings.outcome_totals.ties,team_standings.outcome_totals.wins,team_standings.playoff_seed,team_standings.points_against,team_standings.points_for,team_standings.rank,team_standings.streak.type,team_standings.streak.value,is_owned_by_current_login
,,B+,3.0,https://football.fantasysports.yahoo.com/2016/f1/810238/10/draftrecap,49,1,head,b'Thug Bungalow',16,1,10,359.l.810238.t.10,https://football.fantasysports.yahoo.com/2016/f1/810238/10,4,2016,"Manager({
  ""felo_score"": 654,
  ""felo_tier"": ""silver"",
  ""guid"": ""UG3O3JYLMANG47RCKVEORYV7CM"",
  ""image_url"": ""https://s.yimg.com/ag/images/1893/58868684902_267b2c_64sq.jpg"",
  ""is_current_login"": 1,
  ""manager_id"": 10,
  ""nickname"": ""Mike""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/dh/ap/fantasy/img/profile_96.png""
})",season,2016,1273.57,,,,8,0.385,0,5,11.0,1262.41,1273.57,7,loss,1,1.0
,,C,10.0,https://football.fantasysports.yahoo.com/2016/f1/810238/12/draftrecap,0,1,head,b'Victor Cruisin',38,0,12,359.l.810238.t.12,https://football.fantasysports.yahoo.com/2016/f1/810238/12,8,2016,"Manager({
  ""felo_score"": 622,
  ""felo_tier"": ""silver"",
  ""guid"": ""QLFIQZP7SKRWBM6VIEIBJCPSYQ"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 12,
  ""nickname"": ""matt""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_2.png""
})",season,2016,1338.66,,,,6,0.538,0,7,7.0,1306.6799999999998,1338.66,8,win,2,
,,B,13.0,https://football.fantasysports.yahoo.com/2016/f1/810238/2/draftrecap,88,1,head,b'Immortal Duffmen',5,1,2,359.l.810238.t.2,https://football.fantasysports.yahoo.com/2016/f1/810238/2,7,2016,"Manager({
  ""felo_score"": 599,
  ""felo_tier"": ""bronze"",
  ""guid"": ""G2NCGCH26SABV5CRAMOQE2FQ4M"",
  ""image_url"": ""https://s.yimg.com/ag/images/4448/27143436649_398964_64sq.jpg"",
  ""manager_id"": 2,
  ""nickname"": ""PD""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_7.png""
})",season,2016,1292.9,,,,6,0.538,0,7,8.0,1284.7900000000002,1292.9,9,loss,2,
,,B,11.0,https://football.fantasysports.yahoo.com/2016/f1/810238/11/draftrecap,0,1,head,b'Thunder Crotches',22,0,11,359.l.810238.t.11,https://football.fantasysports.yahoo.com/2016/f1/810238/11,3,2016,"Manager({
  ""felo_score"": 584,
  ""felo_tier"": ""bronze"",
  ""guid"": ""QQ55LWU6E5JC3VLOC4YLR4ERME"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 11,
  ""nickname"": ""Jake""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25212692992_7524090cb0.jpg""
})",season,2016,1238.49,,,,9,0.308,0,4,12.0,1304.5200000000002,1238.49,10,win,2,
,,B,14.0,https://football.fantasysports.yahoo.com/2016/f1/810238/7/draftrecap,37,1,head,b'Starr is Born',20,1,7,359.l.810238.t.7,https://football.fantasysports.yahoo.com/2016/f1/810238/7,6,2016,"Manager({
  ""felo_score"": 715,
  ""felo_tier"": ""gold"",
  ""guid"": ""6ULIXQKSLBRKIB6HHDSUWJKNAI"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 7,
  ""nickname"": ""Nick""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png""
})",season,2016,1250.76,,,,6,0.538,0,7,9.0,1187.17,1250.76,11,loss,1,
,,B,4.0,https://football.fantasysports.yahoo.com/2016/f1/810238/5/draftrecap,11,1,head,b'The Twelve Apostles',14,0,5,359.l.810238.t.5,https://football.fantasysports.yahoo.com/2016/f1/810238/5,5,2016,"Manager({
  ""felo_score"": 532,
  ""felo_tier"": ""bronze"",
  ""guid"": ""7RGUFN54OGM3YX5YNBB6JMEPCA"",
  ""image_url"": ""https://s.yimg.com/ag/images/4541/25163236808_6f42ac_64sq.jpg"",
  ""manager_id"": 5,
  ""nickname"": ""Matt Jones""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/28669172654_fc6db1e37c.jpg""
})",season,2016,1341.19,,,,7,0.462,0,6,10.0,1248.4,1341.19,12,win,1,
,,B,1.0,https://football.fantasysports.yahoo.com/2016/f1/810238/3/draftrecap,100,1,head,"b""Jadeveon's Hit Men""",4,0,3,359.l.810238.t.3,https://football.fantasysports.yahoo.com/2016/f1/810238/3,2,2016,"Manager({
  ""felo_score"": 518,
  ""felo_tier"": ""bronze"",
  ""guid"": ""J57JIHTZDZCZL5EJVFDBBFGNCI"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 3,
  ""nickname"": ""Tim""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25186667852_5eec19e99b.jpg""
})",season,2016,1125.47,,,,9,0.308,0,4,,1256.76,1125.47,13,loss,2,
,,D+,9.0,https://football.fantasysports.yahoo.com/2016/f1/810238/4/draftrecap,0,1,head,"b""John Brown's Army""",2,0,4,359.l.810238.t.4,https://football.fantasysports.yahoo.com/2016/f1/810238/4,1,2016,"Manager({
  ""felo_score"": 512,
  ""felo_tier"": ""bronze"",
  ""guid"": ""HLYYB5KPQ3TXP4GMCKTNL7PY4U"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 4,
  ""nickname"": ""Eric""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png""
})",season,2016,709.39,,,,13,0.0,0,0,,1259.3799999999999,709.39,14,loss,13,
1.0,,B-,10.0,https://football.fantasysports.yahoo.com/2017/f1/192551/11/draftrecap,0,1,head,b'Thunder Crotches',18,0,11,371.l.192551.t.11,https://football.fantasysports.yahoo.com/2017/f1/192551/11,13,2017,"Manager({
  ""felo_score"": 628,
  ""felo_tier"": ""silver"",
  ""guid"": ""QQ55LWU6E5JC3VLOC4YLR4ERME"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 11,
  ""nickname"": ""Jake""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25212692992_7524090cb0.jpg""
})",season,2017,1371.36,,,,3,0.769,0,10,2.0,1212.9299999999998,1371.36,1,win,1,
1.0,,C,11.0,https://football.fantasysports.yahoo.com/2017/f1/192551/7/draftrecap,0,1,head,b'Starr is Born',35,2,7,371.l.192551.t.7,https://football.fantasysports.yahoo.com/2017/f1/192551/7,10,2017,"Manager({
  ""felo_score"": 762,
  ""felo_tier"": ""gold"",
  ""guid"": ""6ULIXQKSLBRKIB6HHDSUWJKNAI"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 7,
  ""nickname"": ""Nick""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png""
})",season,2017,1355.05,,,,7,0.462,0,6,5.0,1292.86,1355.05,2,win,1,
